loc,total_come,total_exit,move,move_inloc,come_in_loc,exit_in_loc,come_out_loc,exit_out_loc
sum,"539,936","539,936",0,"206,723","158,052","158,052","175,161","175,161"
seoul,"107,123","116,512","-9,389","31,984","42,968","42,968","32,171","41,560"
busan,"30,653","32,268","-1,615","9,472","13,583","13,583","7,598","9,213"
daegu,"22,422","24,117","-1,695","7,652","9,243","9,243","5,527","7,222"
incheon,"36,679","33,385","3,294","12,757","10,596","10,596","13,326","10,032"
gwangju,"16,203","16,527",-324,"5,744","5,892","5,892","4,567","4,891"
daejeon,"14,438","15,253",-815,"4,340","4,660","4,660","5,438","6,253"
ulsan,"9,505","10,241",-736,"3,479","3,340","3,340","2,686","3,422"
sejong,"6,433","4,924","1,509","2,650",0,0,"3,783","2,274"
kyeonggi,"153,172","146,647","6,525","61,423","43,952","43,952","47,797","41,272"
gangwon,"18,585","17,145","1,440","9,476","2,598","2,598","6,511","5,071"
choong_north,"16,177","15,713",464,"8,567","1,744","1,744","5,866","5,402"
choong_south,"20,104","18,718","1,386","7,869","3,043","3,043","9,192","7,806"
jeon_north,"17,072","17,647",-575,"9,550","3,427","3,427","4,095","4,670"
jeon_south,"15,492","15,592",-100,"5,861","3,437","3,437","6,194","6,294"
kyeong_north,"22,060","21,480",580,"9,187","3,885","3,885","8,988","8,408"
kyeong_south,"27,166","27,647",-481,"13,377","5,032","5,032","8,757","9,238"
jeju,"6,652","6,120",532,"3,335",652,652,"2,665","2,133"
